,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,3,86899,0,24,86878,0,1076,0,0,0,0,0,0,4,347,105,76,1351,10670,0,0,0,11440,0,426,0,142,7,184,127,0,8628,490,0,7,0,13,1,0,79,1,0,7,0,0,1,0,0,35,0,0,60,0,348,84,35261,29306,22335,342,22,0,0,0,0,1,4,348,147,1947,1441,11197,0,0,0,11384,1,413,1,240,17,186,318,1,8616,6995,0,17,0,12,1,0,66,3,0,8,0,1,1,0,0,36,0,0,43,0,370,120,44212,23292,19398,60507,25291,958,0,146,0,75099,37866,8379,44917,31696,71236,164,15502,51032,30955,3685,1093,137,43134,22099,17946,2874,849,2
1,7,67408,0,23,67392,0,1006,1,1,0,0,1,0,0,304,177,48,623,6209,0,0,0,8180,0,485,0,150,5,151,279,0,6128,460,0,7,0,13,0,0,41,2,0,0,0,0,0,0,0,19,0,0,22,2,390,101,24393,27843,15179,339,25,1,0,0,1,0,0,319,2897,1562,676,7458,0,0,0,8198,1,475,0,234,46,154,535,0,6186,7213,0,8,0,13,1,0,47,2,0,0,0,0,0,0,0,14,2,0,22,1,387,144,36931,18169,12315,48904,17480,910,0,121,0,54048,28495,6854,38678,23652,56380,172,10863,40357,24538,2019,413,88,34139,17674,13587,1637,378,2
2,1,85290,0,28,85263,0,1176,0,0,0,0,0,0,2,367,161,46,1749,8201,0,0,0,12302,0,460,0,125,31,170,140,0,8367,533,0,8,0,7,0,0,176,0,9,6,0,1,1,0,0,443,1,1,59,0,540,76,34129,29441,21721,406,22,0,0,0,0,1,2,384,326,1739,1733,8370,1,0,0,12269,0,439,0,182,46,190,325,1,8151,7247,0,8,0,8,1,0,174,0,5,6,0,1,1,0,0,232,0,0,47,1,550,118,42534,23460,19297,63398,20704,1091,0,98,0,73750,41431,8012,48408,34464,70772,176,14343,45995,34128,4182,843,143,38545,23056,19525,3344,821,2
3,8,77193,0,34,77167,0,1426,0,0,0,0,0,0,0,371,75,51,392,6342,0,0,0,10429,0,403,3,118,5,174,122,1,8342,616,0,4,0,5,0,0,56,0,0,301,0,0,0,0,0,38,0,0,34,1,153,85,29024,26437,21740,343,15,0,0,0,0,0,0,375,107,2022,497,6500,0,0,0,10730,0,387,6,188,15,165,498,18,8643,7350,0,4,0,5,0,0,61,0,0,300,0,1,0,0,0,54,2,0,30,0,161,124,38408,20660,18133,58375,17372,1341,0,113,3,65342,36961,8436,45213,31401,62771,165,14265,40727,31823,3604,922,125,34148,22277,16781,3414,581,1
4,2,95050,0,30,95022,0,1092,0,0,0,0,0,0,1,351,78,95,984,10643,0,0,0,12450,0,584,0,138,8,253,152,0,11031,564,0,5,0,8,0,0,81,4,9,11,0,1,1,0,0,29,0,0,77,0,103,81,38623,29998,26431,319,16,0,0,0,0,41,1,355,116,2268,1016,11155,0,0,1,12813,0,531,0,244,15,268,310,0,11102,7291,0,8,0,8,0,0,69,3,6,37,1,2,1,0,0,18,1,0,71,0,142,138,48578,22997,23477,69255,24694,992,0,111,0,82673,45889,7892,52605,39075,79668,206,15178,50485,36987,5943,1433,204,42443,24406,22068,4980,1154,1
5,19,70620,0,15,70624,0,1103,0,2,1,0,0,0,0,234,105,68,579,5240,0,0,0,9279,0,410,0,148,7,131,244,0,5936,454,0,6,0,10,0,0,54,1,0,77,0,0,0,1,0,57,0,0,27,0,345,67,24111,31657,14871,323,13,1,0,0,0,0,0,239,196,1984,652,5428,0,1,0,9523,0,396,0,280,13,127,479,1,5996,7243,0,5,0,10,0,0,59,0,0,123,0,0,0,0,0,3792,1,0,28,0,352,98,33560,25288,11791,51996,17514,1020,0,109,0,55670,29471,7129,41208,25782,55205,214,15220,42326,25999,1895,368,51,32843,21967,14058,1490,281,2
6,0,105865,0,21,105844,0,1160,0,0,0,0,0,0,0,406,54,94,781,11191,0,0,0,16994,0,684,0,125,9,277,203,0,9563,562,0,7,0,10,0,0,69,2,8,7,4,2,1,0,1,44,2,0,47,1,19,30,42309,33024,30532,323,12,1,0,0,44,0,0,391,86,2517,826,14368,0,0,2,17179,0,631,1,192,21,267,381,0,9600,7323,0,7,0,10,0,0,66,3,6,7,1,1,1,0,1,55,3,0,38,0,49,65,54855,23946,27064,74989,29687,1093,0,96,0,91071,48137,9345,61991,40863,84394,151,21320,57440,40418,6307,1531,169,47785,28110,23313,5404,1253,1
7,2,77435,0,24,77413,0,1391,0,0,0,0,0,0,0,339,56,81,483,8518,0,0,0,10654,0,406,0,116,7,169,123,0,7671,516,0,4,0,262,0,0,86,0,1,5,2,0,0,0,1,91,1,0,29,0,14,57,31011,27603,18823,360,16,0,0,0,36,0,0,331,82,1034,532,8791,0,0,0,10735,2,415,0,170,65,158,488,0,7804,7273,0,5,0,275,0,0,90,2,0,6,1,0,0,0,0,56,2,0,27,0,27,80,39303,20370,17764,53879,22148,1321,0,89,0,66527,35089,8045,41700,28911,62235,148,15054,43464,30387,2903,593,90,34459,23669,16852,2043,414,2
8,20,70581,0,40,70561,0,1041,0,0,0,0,0,0,0,338,63,43,366,6480,0,0,0,8967,0,333,0,137,7,138,144,0,8485,549,0,4,0,372,0,0,57,3,0,4,1,1,0,0,0,150,0,0,31,0,106,99,27611,25648,17342,344,22,0,0,0,0,1,0,355,95,1025,444,6724,2,0,0,9224,1,327,0,194,69,133,325,1,8437,7207,0,4,0,372,0,0,54,7,0,4,1,1,0,0,0,75,1,0,31,0,105,127,35983,18694,15924,52489,17051,961,0,100,0,60021,33546,8012,39780,28884,56291,142,14168,39007,27667,3061,708,158,31748,18969,16940,2327,617,1
9,5,102140,0,21,102124,0,1161,0,0,0,0,0,0,2,352,223,37,1527,12387,0,0,0,13285,0,510,0,132,3,188,135,0,10064,392,0,4,0,8,0,0,79,1,10,2,0,0,1,1,0,462,1,1,65,0,197,73,40573,35613,25959,313,14,1,0,1,0,3,2,352,387,1166,1576,12598,0,0,1,14245,1,486,1,190,13,202,292,0,10315,7182,0,5,0,9,0,0,87,3,6,2,0,0,0,1,0,259,1,1,39,0,208,127,49974,29355,22816,69272,31697,1096,0,80,0,90457,46035,9834,55887,40773,81243,149,20753,55507,39144,6067,1249,178,43092,30225,22966,4729,1133,2
10,0,70531,0,30,70501,0,943,0,0,0,0,0,0,0,330,151,75,563,5529,0,0,0,10328,0,367,0,125,4,152,106,0,7074,529,0,5,0,7,0,0,59,0,11,4,2,1,0,1,2,31,1,10,34,0,67,61,26434,27186,16911,290,12,0,0,0,25,2,0,341,166,2480,513,5760,0,0,0,10456,1,363,0,183,18,153,309,0,7205,7272,0,5,0,7,0,0,57,0,5,4,2,1,0,2,0,17,0,9,25,1,76,72,36084,18529,15918,53663,15901,854,0,113,0,58926,34428,7269,41444,29144,56892,149,13490,37703,29384,2658,696,90,30661,20971,16209,2152,538,1
11,0,73156,0,19,73137,0,676,0,0,0,0,0,0,0,313,52,32,502,6587,0,0,0,10971,0,303,0,131,8,140,110,0,8698,569,0,6,0,6,0,0,52,0,0,1,0,0,0,0,2,46,0,1,42,18,20,43,29244,25278,18634,185,12,0,0,0,0,0,0,324,71,780,566,6721,1,1,0,11813,1,285,1,209,13,161,299,2,8933,7248,0,5,0,9,0,0,59,1,0,2,0,0,0,0,0,27,0,1,37,0,16,97,38034,18364,16758,56127,16333,640,0,56,0,63158,38704,8246,45919,34328,58009,132,15015,34691,32475,4663,1230,97,28109,19822,20554,3729,942,2
12,0,85569,0,27,85542,0,1055,2,0,0,0,1,0,0,349,133,61,1463,8052,0,0,0,10698,0,410,0,203,7,140,131,0,7533,441,0,6,0,5,0,0,48,0,0,0,0,0,1,1,0,26,1,0,43,2,487,92,30865,34170,20534,294,24,1,0,0,1,29,0,352,257,1832,1614,8579,0,0,0,11584,1,398,0,283,14,144,298,0,7709,7193,0,6,0,6,0,0,50,2,0,0,0,0,1,1,0,16,1,1,42,0,511,163,41234,27392,16943,58731,25754,977,0,107,0,73526,35886,7815,44739,31280,70218,241,15110,51000,30580,3001,829,159,42727,24106,15737,2320,679,2
13,2,64772,0,26,64748,0,1267,0,0,0,0,0,0,10,340,51,27,612,5651,0,0,0,8658,1,365,0,175,8,123,151,0,6813,572,0,5,0,15,0,0,46,0,0,4,2,0,0,0,0,20,0,0,29,2,47,108,24978,23729,16067,285,47,0,0,0,0,1,10,337,89,737,589,5855,0,2,0,8699,22,353,1,249,49,127,421,1,6980,7258,0,5,0,13,0,0,46,0,0,3,4,0,0,0,0,10,0,0,25,2,40,171,32861,17277,14636,47919,15565,1185,0,105,0,53899,29655,7763,36773,24991,52861,136,11777,36025,25140,2784,722,103,29247,18007,15132,1983,405,1
