,srcip_private,srcip_public,srcip_default,dstip_private,dstip_public,dstip_default,sport_zero,sport_multiplex,sport_echo,sport_discard,sport_daytime,sport_quote,sport_chwhereen,sport_ftp_data,sport_ftp_control,sport_ssh,sport_telnet,sport_smtp,sport_dns,sport_bootp,sport_gopher,sport_finger,sport_http,sport_kerberos,sport_pop3,sport_nntp,sport_ntp,sport_netbios,sport_imap4,sport_snmp,sport_ldap,sport_https,sport_mds,sport_kpasswd,sport_smtp_ssl,sport_syslog,sport_smtp2,sport_ldaps,sport_cups,sport_imap4_ssl,sport_socks,sport_openvpn,sport_mssql,sport_citrix,sport_oracle,sport_rapservice,sport_msnmessenger,sport_mgc,sport_mysql,sport_metasploit,sport_emule,sport_xmpp,sport_irc,sport_bittorrent,sport_http2,sport_reserved,sport_register,sport_private,dport_zero,dport_multiplex,dport_echo,dport_discard,dport_daytime,dport_quote,dport_chwhereen,dport_ftp_data,dport_ftp_control,dport_ssh,dport_telnet,dport_smtp,dport_dns,dport_bootp,dport_gopher,dport_finger,dport_http,dport_kerberos,dport_pop3,dport_nntp,dport_ntp,dport_netbios,dport_imap4,dport_snmp,dport_ldap,dport_https,dport_mds,dport_kpasswd,dport_smtp_ssl,dport_syslog,dport_smtp2,dport_ldaps,dport_cups,dport_imap4_ssl,dport_socks,dport_openvpn,dport_mssql,dport_citrix,dport_oracle,dport_rapservice,dport_msnmessenger,dport_mgc,dport_mysql,dport_metasploit,dport_emule,dport_xmpp,dport_irc,dport_bittorrent,dport_http2,dport_reserved,dport_register,dport_private,protocol_tcp,protocol_udp,protocol_icmp,protocol_igmp,protocol_other,tcpflags_URG,tcpflags_ACK,tcpflags_PSH,tcpflags_RST,tcpflags_SYN,tcpflags_FIN,srctos_zero,srctos_192,srctos_other,npackets_verylow,npackets_low,npackets_medium,npackets_high,npackets_veryhigh,nbytes_verylow,nbytes_low,nbytes_medium,nbytes_high,nbytes_veryhigh,label_background,label_dos,label_scan11,label_scan44,label_nerisbotnet,label_blacklist,label_anomaly_udpscan,label_anomaly_sshscan,label_anomaly_spam,outcome.multiclass
2016-07-27 13:43:21,0,29301,0,1,29300,0,103,0,0,0,0,0,0,0,26,5,1,460,7409,0,0,0,3292,0,183,0,40,1,52,5,0,1786,131,0,0,0,0,0,0,41,0,2,0,0,0,0,0,0,17,0,0,17,0,0,0,13548,7774,7979,20,6,0,0,0,14,0,0,45,37,79,290,6134,0,0,0,4294,0,176,0,76,1,66,77,0,2946,28,0,2,0,1,1,0,40,0,1,1,0,0,0,0,0,7,0,0,2,0,1,15,14401,8332,6568,15015,14182,100,0,4,0,28542,11877,1792,12165,11143,27644,29,1628,17556,9565,1731,427,22,14217,7628,5643,1453,360,29162,0,0,0,0,139,0,0,0,0
2016-07-27 13:44:00,2,98304,0,30,98276,0,676,0,0,0,0,0,0,1,122,43,35,1047,14231,0,0,0,13940,0,580,0,139,23,180,75,0,9345,465,0,6,0,10,0,0,113,2,6,3,1,1,1,0,0,39,1,0,40,0,2,55,41117,29571,27618,173,14,0,0,0,72,0,1,154,90,913,916,13819,1,1,0,14948,0,512,0,191,42,186,248,1,10362,6560,0,6,0,15,0,0,123,3,4,2,0,1,1,0,0,21,1,0,41,1,4,86,49728,23207,25371,66784,30834,627,0,61,0,88790,47295,7982,53050,40944,84196,154,13956,52000,38418,6046,1659,183,42535,25322,23578,5516,1355,98020,0,0,0,0,286,0,0,0,0
2016-07-27 13:45:00,5,105827,0,24,105808,0,795,0,0,0,0,0,0,6,149,93,31,973,15167,0,0,0,14294,0,672,0,142,21,294,135,0,10570,598,0,5,0,9,0,0,83,2,7,4,0,0,0,0,0,22,0,0,45,3,2,64,44125,32637,29070,250,12,1,0,0,59,1,6,155,111,721,1056,15459,0,0,1,14899,0,628,0,201,35,291,357,0,10945,7361,0,5,0,9,0,0,88,4,5,5,1,0,0,0,0,14,0,0,56,3,6,91,53058,24769,28005,70405,34620,738,0,69,0,95556,49595,9247,55268,43114,88479,163,17190,56926,39884,7017,1798,207,46506,27484,24442,5926,1474,105488,0,0,0,0,344,0,0,0,0
2016-07-27 13:46:00,27,102064,0,29,102062,0,1065,1,0,0,0,0,0,1,87,101,36,961,14702,0,0,0,14280,0,585,0,154,13,216,118,0,10141,499,0,11,0,8,0,0,71,1,6,2,2,0,0,0,2,27,1,1,38,0,2,51,43144,31089,27858,246,12,1,0,0,73,1,1,90,124,659,1057,15053,0,0,0,14424,0,533,0,220,25,213,366,0,10398,7271,0,11,0,10,1,1,69,3,6,4,1,0,0,0,0,16,1,0,44,0,4,95,51270,24289,26532,67545,33463,1008,0,75,0,92131,47473,8613,53987,43040,85699,149,16243,54994,38469,6585,1845,198,44865,26527,23542,5729,1427,101835,0,0,0,0,256,0,0,0,0
2016-07-27 13:47:00,0,108182,0,25,108157,0,835,1,0,0,0,0,0,4,84,65,38,892,15148,0,0,0,13830,0,575,0,159,8,283,126,0,10613,538,0,7,0,6,0,0,77,1,7,2,0,1,0,2,2,41,0,0,47,1,3,73,43402,36561,28219,260,13,0,0,0,60,0,4,85,101,554,953,15873,0,0,1,14275,3,509,0,219,20,273,355,0,10900,7329,0,6,0,8,1,0,85,1,6,4,0,0,0,1,2,24,0,0,57,0,3,97,52364,28688,27130,68303,39035,776,0,68,0,98203,48099,9037,54946,42280,86516,133,21533,60244,40212,5947,1573,206,45958,31818,23748,5344,1314,108020,0,0,0,0,162,0,0,0,0
2016-07-27 13:48:00,0,110196,0,19,110177,0,875,0,0,0,0,0,0,1,71,100,37,1129,16128,0,0,0,14835,0,573,0,132,8,235,150,0,11261,527,0,6,0,65,0,0,105,0,6,3,0,0,3,0,0,38,0,1,43,0,20,48,46331,34385,29480,295,13,0,0,0,62,0,1,84,125,921,1205,16331,1,0,0,15036,1,524,0,192,18,225,338,0,11655,7294,0,7,0,65,0,0,124,1,6,4,1,0,3,0,0,22,0,0,51,0,28,68,54976,26577,28643,72369,36936,778,0,113,0,99747,51264,9068,57511,44876,92243,181,17772,59058,42581,6488,1837,232,47792,29497,25708,5693,1506,109984,0,0,0,0,212,0,0,0,0
2016-07-27 13:49:00,0,110552,0,24,110528,0,849,0,0,0,0,0,0,6,51,98,51,1051,14713,0,0,0,16118,0,637,0,135,9,286,126,0,11540,518,0,7,0,32,0,0,85,0,7,10,3,0,0,0,0,25,1,0,43,0,20,59,46407,34993,29152,267,12,0,0,0,53,1,6,68,132,1132,1100,15049,0,0,0,16785,1,594,0,193,18,284,309,0,11935,7280,0,8,0,34,0,2,92,0,6,7,2,0,0,0,0,13,1,0,57,0,26,76,55800,27209,27543,75313,34358,785,0,96,0,99772,53002,9206,59137,46239,93296,165,17091,58332,43399,6732,1884,205,47670,29351,26424,5595,1512,110197,0,0,0,0,355,0,0,0,0
2016-07-27 13:50:00,1,117951,0,21,117931,0,914,0,0,0,0,0,0,88,282,107,43,1475,18225,0,0,0,15964,0,613,0,179,6,209,133,0,11021,516,0,5,0,32,0,0,100,0,9,5,2,1,1,0,0,39,2,1,40,0,1,95,50000,36862,31090,298,13,0,0,0,62,0,45,281,131,1763,1575,18628,1,0,0,16376,0,560,0,236,17,200,343,0,11338,7301,0,6,0,36,0,0,114,0,7,2,3,1,1,0,0,29,2,0,44,0,3,120,59793,28989,29170,75556,41468,846,0,82,0,106762,53243,8994,60388,46463,99444,219,18289,64817,43967,7079,1876,213,52411,32235,25777,5909,1620,117696,0,0,0,0,256,0,0,0,0
2016-07-27 13:51:00,0,105755,0,26,105729,0,735,1,0,0,0,0,0,5,311,94,32,1115,15830,0,0,0,14318,0,692,0,142,9,293,134,0,10960,555,0,8,0,25,0,0,99,0,5,2,3,0,0,0,0,28,0,3,45,0,2,57,45478,32158,28119,227,13,0,0,0,67,0,4,321,122,468,1187,16227,0,0,0,14742,0,627,0,203,19,302,332,1,11226,7299,0,9,0,27,0,0,95,0,6,0,3,0,0,0,0,18,0,2,56,0,3,91,53995,25259,26501,69503,35493,679,0,80,0,95609,48356,9026,53740,41696,89348,165,16242,58745,39204,5953,1649,204,47698,26537,25002,5171,1346,105560,0,0,0,0,195,0,0,0,0
2016-07-27 13:52:00,2,112451,0,26,112427,0,1176,2,0,0,0,0,0,11,331,96,37,1196,15373,0,0,0,15436,0,705,0,158,6,207,137,0,10916,543,0,4,0,21,0,0,92,2,8,122,3,2,1,0,0,38,1,0,61,0,3,69,46554,37008,28891,285,13,0,0,1,57,4,11,325,113,1054,1270,15874,0,1,0,15799,0,654,0,224,12,215,381,0,11081,7269,0,4,0,23,0,0,103,3,6,3893,1,0,0,1,0,22,1,0,69,1,4,84,55275,30215,26963,76612,34647,1098,0,96,0,98043,51361,8808,61007,44373,92118,176,20159,61786,41428,7044,1956,239,50944,28660,25554,5803,1492,112164,0,0,0,0,289,0,0,0,0
